Equipment,Company,通量（并行度）,Cycle time,Total run time,Length,Type,Source,Link,estimated latency(s),# of bases(mer),Estimated throughput (MB/S)
Dr.Oligo 12/48/192XLc/768XLc,Biolytic,768,6min40s (384 columns); 9min45s (768 columns),"2h13min (384 oligos, 20mers each); 3h15min (768 oligos, 20mers each)",20 mer,Column-based,product,https://www.biolytic.com/c-699-oligo-synthesizers.aspx,11700,15360,0.328
Syn-HCY-12P,TSINGKE,12,6min,2h,120 mer or more,Column-based,product,https://www.tsingke.com.cn/intel/compose12,7200,240,0.008
Syn-HCY-192P/B,TSINGKE,192,4-6.5min,,,Column-based,product,https://www.tsingke.com.cn/intel/compose192,7800,3840,0.123
Syn-HCY-768B,TSINGKE,768,9-10min,,,Column-based,product,https://www.tsingke.com.cn/intel/compose768,12000,15360,0.32
华大自主DNA合成仪,华大生命科学研究院,可达万级,,,,Microarray-based,news,https://research.genomics.cn/articles/332,,,
OligoMaker X12,OligoMaker ApS,12,,1h,20 mer,Column-based,product,https://oligomaker.com/oligo-synthesizer-x12/,3600,240,0.017
OligoMaker X96,OligoMaker ApS,96,,,,Column-based,product,https://oligomaker.com/oligomaker-x96/,,,
OligoMaker X192,OligoMaker ApS,192,,,,Column-based,product,https://oligomaker.com/oligomaker-x192/,,,
OligoMaker 48/6,OligoMaker ApS,48,,"1.5h (10 oligos, 20-mer each); 2h (48 oligos, 20-mer each)",20 mer,Column-based,product,https://oligomaker.com/dna-rna-synthesizer/oligo-synthesizer-48/,7200,960,0.033
OligoMaker 96/6,OligoMaker ApS,96,,"3h (96 oligos, 20-mer each)",20 mer,Column-based,product,https://oligomaker.com/dna-rna-synthesizer/oligo-synthesizer-96/,10800,1920,0.044
OligoMaker 192/6,OligoMaker ApS,192,,"4h (192 oligos, 20-mer each)",20 mer,Column-based,product,https://oligomaker.com/dna-rna-synthesizer/oligo-synthesizer-192/,14400,3840,0.067
OligoMaker 384,OligoMaker ApS,384,,,,Column-based,product,https://oligomaker.com/oligomaker-384/,,,
OligoMaker 768,OligoMaker ApS,768,,,,Column-based,product,https://oligomaker.com/oligo-synthesizer-768/,,,
OligoMaker 1536,OligoMaker ApS,1536,,,,Column-based,product,https://oligomaker.com/oligo-synthesizer-1536/,,,
Unique AutoOligo 25/100/150,英赛斯/Inscinstech,"1,3,8 optional",4.5-25min,,,Column-based,product,https://www.inscinstech.com.cn/oligonucleotide-synthesizer/,,,
Unique AutoOligo 600,英赛斯/Inscinstech,1,,,,Column-based,product,https://www.inscinstech.com.cn/oligonucleotide-synthesizer/,,,
KILOBASER ONE/ONE-XT,KILOBASER,1,2.5 min,,,Column-based,product,https://kilobaser.com/dna-and-rna-synthesizer,,,
ÄKTA oligopilot plus 10/100,Cytiva,7,,,,Column-based,product,https://www.cytivalifesciences.com/en/us/shop/oligonucleotide-synthesis/synthesizers/akta-oligopilot-plus-oligonucleotide-synthesizer-p-05544,,,
ÄKTA oligosynt,Cytiva,5,,,,Column-based,product,https://www.cytivalifesciences.com/en/us/shop/oligonucleotide-synthesis/synthesizers/akta-oligosynt-oligonucleotide-synthesizer-p-29216?psmenu=2,,,
OligoPilot 400,Cytiva,1,,,,Column-based,product,https://www.cytivalifesciences.com/en/us/shop/oligonucleotide-synthesis/synthesizers/oligopilot-400-oligonucleotide-synthesizer-p-06297,,,
OligoProcess/OligoPilot,Cytiva,,,,,Column-based,product,https://www.cytivalifesciences.com/en/us/shop/oligonucleotide-synthesis/synthesizers?sort=NameAsc&chunk=1,,,
H-2,K&A,2,2 – 2.5 min,,,Column-based,product,https://ka-labs.de/dna-rna-synthesizers/h-2/,,,
H-6,K&A,6,2.5-3.5min,,,Column-based,product,https://ka-labs.de/dna-rna-synthesizers/h-6/,,,
H-8,K&A,8,3-3.5min,,,Column-based,product,https://ka-labs.de/dna-rna-synthesizers/h-8-standard/,,,
H-16,K&A,16,5.5-6min,,,Column-based,product,https://ka-labs.de/dna-rna-synthesizers/h-16-standard/,,,
H-32,K&A,32,7-8min,,,Column-based,product,https://ka-labs.de/dna-rna-synthesizers/h-32/,,,
H-64,K&A,64,,,80 bases,Column-based,product,https://ka-labs.de/dna-rna-synthesizers/h-32/h-64/,,,
S-4-LC,K&A,4,2.5-3min,,,Column-based,product,https://ka-labs.de/dna-rna-synthesizers/s-4-lc-s-8-lc/,,,
S-8-LC,K&A,8,,,,Column-based,product,https://ka-labs.de/dna-rna-synthesizers/s-4-lc-s-8-lc/,,,
Shasta 96/192,Sierra BioSystems,192,,,20 mer,Column-based,product,https://sierrabio.com/dna-synthesizers/sierra-biosystems-synthesizers/shasta-96-192-dna-synthesizer/,,,
MerMade 4,BioAutomation(Biosearch Technologies),4,,3h (20 mer),150 bases,Column-based,product,https://shop.biosearchtech.com/nucleic-acid-chemistry-reagents-and-instruments/dna-and-rna-synthesis/dna-and-rna-oligonucleotide-synthesizers/mermade-4/mermade-4-column-positions-%282020-model%29/p/AXMM4,10800,80,0.002
MerMade 6,BioAutomation(Biosearch Technologies),6,,2h (20 mer),,Column-based,product,https://shop.biosearchtech.com/nucleic-acid-chemistry-reagents-and-instruments/dna-and-rna-synthesis/dna-and-rna-oligonucleotide-synthesizers/mermade-6-and-12/mermade-6-synthesizer/p/NACINS-017,7200,120,0.004
